Transaction ID,Date of Sale,Region,Sales Rep,Customer Segment,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Order Status,Delivery Time (Days),Payment Method
a0afd7cb,2023-11-19,Central,Emily Woods,Individual,Toys,Doll,10,669.33,6693.3,Pending,20.0,Bank Transfer
6cad961f,2024-01-16,North,Jessica Chavez,Enterprise,Appliances,Microwave,2,471.86,943.72,Delivered,5.0,PayPal
14c4639b,2024-02-11,East,James Martinez,Enterprise,Food,Cereal,3,611.69,1835.07,Returned,10.0,Credit Card
0e29ead9,2023-08-01,Central,Kirsten Jenkins,Small Business,Toys,Toy Car,3,38.05,114.15,Delivered,14.0,Credit Card
ebc3e678,2024-12-08,East,Amanda Solis,Individual,Clothing,T-Shirt,1,568.13,568.13,Returned,20.0,
1103109f,2024-01-05,Central,Nicole Gilmore,Individual,Food,Pasta,2,149.8,299.6,Delivered,3.0,PayPal
16daf8b0,2024-09-13,South,Jennifer Carter,Individual,Clothing,Jeans,3,666.47,1999.41,Delivered,,PayPal
72ff7d74,2023-04-09,East,Dave King,Small Business,Food,Cereal,9,219.77,1977.93,Pending,18.0,
8433926c,2023-01-22,North,Robert Thomas,Small Business,Electronics,Laptop,7,735.22,5146.54,Returned,2.0,Bank Transfer
44ec2956,2024-08-06,East,Tanya Simmons,Enterprise,Furniture,Bookshelf,6,515.74,3094.44,Pending,2.0,PayPal
83088a45,2023-08-03,North,Jason Thompson,Enterprise,Appliances,Refrigerator,6,223.26,1339.56,Returned,9.0,PayPal
5111f106,2023-06-24,East,Diane Johnson,Enterprise,Appliances,Blender,2,678.88,1357.76,Returned,20.0,Credit Card
49da02e7,2024-02-02,East,Jon Terrell,Individual,Toys,Action Figure,5,859.07,4295.35,Returned,18.0,Bank Transfer
bac97fcc,2023-03-20,East,Kelly Montgomery,Small Business,Appliances,Toaster,9,934.2,8407.8,Pending,4.0,PayPal
32671bc9,2024-10-14,West,Andre Brock,Enterprise,Food,Chips,5,447.86,2239.3,Returned,8.0,Bank Transfer
848595e4,2023-07-02,West,Angela Williamson,Enterprise,Electronics,Tablet,2,775.41,1550.82,Pending,6.0,Bank Transfer
c78ebdbb,2024-07-29,West,Brian Walker,Enterprise,Clothing,T-Shirt,4,701.36,2805.44,Delivered,12.0,Bank Transfer
1caa6cbb,2024-01-18,North,Dominique Hernandez,Small Business,Food,Cookies,7,829.16,5804.12,Delivered,19.0,PayPal
a811eb25,2023-04-06,Central,Mrs. Gloria Castillo,Small Business,Electronics,Tablet,1,846.56,846.56,Pending,19.0,Credit Card
9acf0f7c,2024-01-02,Central,Marissa Smith,Enterprise,Toys,Doll,3,430.61,1291.83,Returned,11.0,Credit Card
f740811a,2023-06-28,West,Ronald Brown,Small Business,Toys,Toy Car,6,329.72,1978.32,Delivered,2.0,Credit Card
c5566cd2,2023-08-04,South,Chase Andrews,Enterprise,Clothing,Dress,4,907.31,3629.24,Pending,16.0,Credit Card
17e47ca6,2024-01-03,South,David Bradford,Individual,Clothing,Jeans,4,958.91,3835.64,Returned,3.0,Credit Card
94c640b5,2024-07-24,West,Chris Weber,Small Business,Electronics,Tablet,6,96.73,580.38,Pending,3.0,PayPal
cef630bd,2023-08-13,East,Anthony Owens,Enterprise,Electronics,Headphones,2,486.88,973.76,Pending,11.0,Credit Card
c7339cf4,2023-11-24,East,Samantha Wilson,Enterprise,Appliances,Blender,7,566.9,3968.3,Returned,15.0,PayPal
0fbe750b,2024-12-16,North,Helen Williams,Individual,Clothing,T-Shirt,4,217.84,871.36,Delivered,7.0,PayPal
391385aa,2024-06-25,Central,Sharon Martinez,Small Business,Appliances,Blender,7,963.82,6746.74,Returned,1.0,PayPal
8ea0196f,2024-08-13,West,Lisa Williams,Small Business,Appliances,Toaster,3,774.5,2323.5,Delivered,13.0,PayPal
460e3b27,2024-06-25,East,Jeanette Hughes,Small Business,Electronics,Tablet,10,888.57,8885.7,Returned,16.0,
19651851,2023-12-17,Central,Linda Smith,Enterprise,Toys,Action Figure,3,825.54,2476.62,Pending,15.0,PayPal
b0cf1f9e,2024-10-09,East,Erin Cooley,Enterprise,Appliances,Air Fryer,8,626.35,5010.8,Pending,4.0,Credit Card
ab8c86b2,2023-09-22,North,Jerry Hill,Enterprise,Clothing,Jacket,1,38.62,38.62,Pending,,Bank Transfer
8834f4ef,2024-11-08,West,Matthew Oliver,Small Business,Clothing,Jeans,8,60.66,485.28,Returned,18.0,Bank Transfer
0ac508c0,2024-07-08,South,Daniel Meadows,Small Business,Appliances,Microwave,9,910.82,8197.38,Delivered,16.0,Credit Card
eb2b6fac,2024-10-13,East,Karl Woods,Small Business,Furniture,Bookshelf,4,840.02,3360.08,Pending,14.0,PayPal
21afcfd6,2023-09-15,South,Cheryl Davis,Small Business,Electronics,Headphones,10,472.6,4726.0,Returned,6.0,PayPal
e983b023,2023-09-28,West,Veronica Smith,Individual,Electronics,Headphones,5,524.82,2624.1,Delivered,7.0,Credit Card
a4e92a23,2023-10-31,West,Karen Roberts,Individual,Toys,Puzzle,8,124.55,996.4,Pending,9.0,PayPal
12c38a80,2023-10-02,West,Jeffery Graves,Small Business,Furniture,Sofa,10,442.67,4426.7,Returned,18.0,Credit Card
228a203b,2024-10-18,West,Erin Santos,Enterprise,Appliances,Blender,6,960.42,5762.52,Returned,8.0,PayPal
39e24cd0,2024-08-09,Central,Christopher Mccormick,Enterprise,Toys,Board Game,8,730.32,5842.56,Returned,2.0,PayPal
a9262542,2024-06-06,North,William Dixon,Enterprise,Furniture,Desk,1,310.43,310.43,Pending,8.0,Credit Card
b189e3be,2024-01-29,North,Michael Wallace,Small Business,Appliances,Microwave,1,25.39,25.39,Delivered,12.0,Credit Card
7a4a145a,2023-02-05,Central,Justin Smith,Individual,Food,Pasta,4,699.5,2798.0,Delivered,9.0,PayPal
0f2305d8,2023-04-10,West,Tara Clark,Individual,Food,Pasta,7,255.78,1790.46,Delivered,20.0,Credit Card
0eb10bc6,2024-02-04,West,Larry Strickland,Small Business,Furniture,Desk,1,579.25,579.25,Pending,12.0,Bank Transfer
ce858388,2023-03-26,East,Andrew Neal,Individual,Toys,Board Game,7,358.79,2511.53,Returned,20.0,PayPal
bd35381e,2023-08-10,South,John Lawrence,Enterprise,Toys,Doll,2,196.84,393.68,Pending,5.0,PayPal
25ede732,2024-06-08,West,Theodore Williams,Small Business,Toys,Puzzle,8,818.64,6549.12,Delivered,2.0,Bank Transfer
bb56449a,2023-03-04,South,Maria Phillips,Individual,Appliances,Blender,4,761.64,3046.56,Delivered,12.0,Bank Transfer
1a925d06,2024-08-14,West,Samantha Ford,Small Business,Electronics,Tablet,3,599.05,1797.15,Returned,17.0,Bank Transfer
ca5691e3,2024-12-13,Central,Jessica Bradley,Small Business,Furniture,Desk,4,224.58,898.32,Delivered,9.0,
b5231d5c,2023-05-20,West,Dominique Key,Individual,Appliances,Toaster,1,455.48,455.48,Delivered,18.0,Credit Card
5989d47f,2023-02-13,Central,Patricia Cohen,Individual,Electronics,Smartphone,7,102.62,718.34,Pending,2.0,PayPal
c59790d5,2024-05-01,West,Kevin Moore,Small Business,Appliances,Toaster,3,517.86,1553.58,Delivered,7.0,PayPal
b0d781ef,2023-12-26,South,Mark Alexander,Enterprise,Furniture,Sofa,9,602.02,5418.18,Delivered,10.0,Credit Card
ada4368a,2023-04-25,Central,Brittney Brown,Enterprise,Clothing,Shoes,6,980.06,5880.36,Pending,12.0,
820806e4,2024-05-01,North,Laurie Poole,Individual,Clothing,Jeans,10,173.99,1739.9,Pending,1.0,Bank Transfer
2d190b74,2024-01-15,West,Justin Swanson,Enterprise,Toys,Action Figure,4,918.7,3674.8,Delivered,11.0,Bank Transfer
7002d377,2024-12-09,East,Brittney Cook,Small Business,Appliances,Microwave,5,496.9,2484.5,Delivered,16.0,Credit Card
4ae9b3b2,2024-05-20,South,Joseph Serrano,Enterprise,Toys,Board Game,7,707.94,4955.58,Delivered,12.0,Credit Card
ee2432a8,2023-10-13,West,Jeremiah Rubio,Individual,Toys,Board Game,6,124.91,749.46,Pending,15.0,Bank Transfer
fb5ecd88,2023-07-16,East,Wanda Villa,Small Business,Appliances,Refrigerator,5,388.52,1942.6,Returned,19.0,Bank Transfer
471bd561,2023-06-11,North,Jamie Jones,Enterprise,Toys,Board Game,8,514.04,4112.32,Returned,,Bank Transfer
874d00fd,2024-01-01,North,Tiffany Terry,Small Business,Appliances,Toaster,4,56.37,225.48,Returned,3.0,Bank Transfer
353dcd74,2024-11-19,West,Ashley Jones,Enterprise,Furniture,Sofa,4,943.93,3775.72,Delivered,6.0,PayPal
eb2740d4,2023-10-04,Central,Emma Jackson,Individual,Appliances,Air Fryer,4,595.7,2382.8,Delivered,10.0,Bank Transfer
e4f72a20,2024-02-07,West,Jacqueline Garcia,Individual,Food,Cereal,8,795.15,6361.2,Pending,2.0,Bank Transfer
aa9ddb14,2024-05-31,Central,Ryan Stephens,Enterprise,Furniture,Office Chair,1,328.62,328.62,Returned,13.0,PayPal
13984d53,2024-07-30,West,Misty Baldwin,Small Business,Food,Cookies,7,980.74,6865.18,Returned,,Credit Card
ba72ca99,2023-03-24,South,James Barr,Individual,Electronics,Headphones,4,103.61,414.44,Delivered,1.0,Bank Transfer
703bee18,2024-10-30,North,Edwin Richardson,Small Business,Appliances,Microwave,10,29.67,296.7,Returned,1.0,Bank Transfer
9bf33908,2023-03-09,North,Eric Thomas,Enterprise,Toys,Board Game,6,587.45,3524.7,Pending,8.0,PayPal
09815e8c,2024-11-12,North,Michelle Petersen,Small Business,Toys,Puzzle,6,992.33,5953.98,Delivered,9.0,
5a714347,2023-01-19,North,Christopher Hernandez,Enterprise,Furniture,Sofa,1,115.4,115.4,Delivered,16.0,Bank Transfer
67b63715,2024-10-22,West,William Daugherty,Individual,Toys,Toy Car,3,725.12,2175.36,Returned,3.0,Bank Transfer
01dbb21b,2023-09-19,South,Krista Stephenson,Enterprise,Appliances,Toaster,9,351.83,3166.47,Returned,6.0,Bank Transfer
9f73616a,2023-05-28,South,Benjamin Flowers,Enterprise,Food,Cookies,10,871.84,8718.4,Delivered,19.0,Credit Card
9752a6bd,2023-10-24,West,David Tran,Enterprise,electronics,Shoes,2,37.55,75.1,Delivered,9.0,PayPal
4cb2e0b7,2024-09-12,South,Zachary Barton,Enterprise,Appliances,Microwave,3,285.99,857.97,Returned,8.0,Credit Card
0ef715f2,2024-01-29,North,Joseph Watkins,Individual,Food,Chips,7,915.23,6406.61,Pending,2.0,
0f62b291,2023-02-28,East,Walter Clark,Enterprise,Appliances,Toaster,3,712.73,2138.19,Pending,13.0,PayPal
b8a4c8eb,2023-10-19,North,Anthony Thomas,Individual,Clothing,Jacket,7,785.66,5499.62,Returned,19.0,Credit Card
d0c132aa,2023-02-13,Central,Jacob Norris,Individual,Food,Chips,7,985.73,6900.11,Pending,3.0,Bank Transfer
1db0b12e,2023-09-08,South,Leslie Williams,Enterprise,Appliances,Toaster,9,294.77,2652.93,Returned,13.0,PayPal
c5562089,2023-11-09,North,Lisa Becker,Enterprise,Electronics,Smartphone,2,421.29,842.58,Delivered,18.0,Credit Card
5ff7f55c,2023-10-05,West,Donna Bush,Small Business,Electronics,Tablet,8,951.81,7614.48,Returned,2.0,Bank Transfer
86d16d78,2023-02-11,East,Victoria Griffith,Individual,Clothing,Jeans,4,112.18,448.72,Delivered,14.0,Bank Transfer
37b36300,2024-06-16,South,Jamie Holmes,Small Business,Food,Juice,1,492.97,492.97,Delivered,1.0,Bank Transfer
bad1271c,2023-11-29,North,John Newman,Individual,Clothing,Jeans,10,931.41,9314.1,Delivered,6.0,Bank Transfer
c9d6c4df,2024-05-13,East,Victoria Wood,Small Business,Clothing,Dress,7,46.72,327.04,Pending,9.0,PayPal
89bb7cae,2024-10-18,Central,Harry Smith,Small Business,Appliances,Microwave,9,497.67,4479.03,Pending,6.0,Bank Transfer
8f0e3386,2024-01-05,North,Gregory Campbell,Enterprise,Electronics,Camera,9,753.77,6783.93,Pending,19.0,PayPal
2d57bd26,2023-04-17,Central,Donna Hall,Individual,Appliances,Air Fryer,5,934.83,4674.15,Pending,,Credit Card
55ce32a1,2024-11-16,West,Charles Gates,Enterprise,Appliances,Air Fryer,10,171.49,1714.9,Pending,11.0,PayPal
b6bdce49,2023-06-29,Central,Barbara Anderson,Individual,Toys,Toy Car,3,814.7,2444.1,Pending,18.0,PayPal
3443bb8a,2023-01-26,West,Brittney Dunn,Small Business,Clothing,Jacket,3,873.71,2621.13,Returned,12.0,Bank Transfer
0c39b069,2023-10-10,South,Sarah Gibson,Individual,Clothing,Jeans,7,751.13,5257.91,Delivered,11.0,PayPal
b9b3eb94,2023-07-08,South,Miguel Shields,Individual,Clothing,Dress,2,414.87,829.74,Delivered,20.0,PayPal
1da8e5df,2023-06-23,South,Daniel Payne,Individual,Toys,Action Figure,1,740.95,740.95,Returned,9.0,Bank Transfer
95f3af1f,2024-08-04,South,Mr. William Gonzalez,Individual,Furniture,Desk,10,426.49,4264.9,Returned,20.0,Bank Transfer
38c0f644,2024-08-17,West,Erin Love,Small Business,Food,Pasta,6,944.43,5666.58,Pending,2.0,Credit Card
c030cc1e,2023-06-08,Central,Kenneth Ryan,Individual,Toys,Doll,4,51.15,204.6,Pending,5.0,
135d5010,2023-12-14,West,Evan Diaz,Individual,Clothing,Shoes,3,77.78,233.34,Returned,15.0,Credit Card
2ba56188,2023-09-23,North,Heather Washington MD,Individual,Electronics,Smartphone,9,397.96,3581.64,Returned,3.0,PayPal
b884b42a,2023-08-21,South,Alexis Eaton,Small Business,Toys,Action Figure,10,766.45,7664.5,Returned,13.0,
987a7da5,2024-02-14,Central,Amanda Meza,Small Business,Electronics,Laptop,8,284.91,2279.28,Delivered,10.0,PayPal
a4bae715,2024-07-12,East,Andrew Contreras,Small Business,Furniture,Dining Table,5,329.61,1648.05,Pending,,PayPal
7efedebd,2024-11-25,West,Thomas Campbell,Individual,Clothing,Shoes,8,678.38,5427.04,Returned,13.0,Bank Transfer
f0ce79f6,2023-07-08,Central,Adrian Gilbert,Small Business,Food,Juice,10,706.65,7066.5,Delivered,5.0,Credit Card
11575ff6,2023-12-05,East,Michelle Carter,Individual,Clothing,Jacket,2,633.2,1266.4,Delivered,10.0,Bank Transfer
6ba14737,2024-08-12,North,Justin Turner,Enterprise,Furniture,Desk,10,815.19,8151.9,Delivered,5.0,Credit Card
49234aed,2024-10-25,South,Wendy Mullins,Small Business,Electronics,Laptop,5,749.54,3747.7,Returned,15.0,Bank Transfer
f7a5a357,2025-01-11,South,Susan Gutierrez,Enterprise,Electronics,Headphones,4,433.76,1735.04,Delivered,,PayPal
669bda07,2024-01-30,West,Jeffrey Davis,Small Business,Food,Cereal,6,163.43,980.58,Pending,7.0,PayPal
f5052aa5,2023-05-17,South,Steven Arnold,Enterprise,Furniture,Bookshelf,6,509.65,3057.9,Returned,13.0,Bank Transfer
1fa76d0b,2023-12-31,North,Tammy Williams,Enterprise,Electronics,Smartphone,7,530.37,3712.59,Returned,,Credit Card
ef5c5829,2024-09-02,South,Donald Raymond,Individual,Electronics,Camera,10,99.24,992.4,Pending,,Bank Transfer
b792f1d6,2024-08-04,North,Mitchell Summers,Small Business,Toys,Toy Car,5,694.27,3471.35,Pending,12.0,PayPal
453ac1bc,2024-07-11,South,Kevin Rodriguez,Individual,Furniture,Sofa,8,502.66,4021.28,Pending,16.0,PayPal
b2ddad25,2024-05-11,Central,Nathan Andrews,Small Business,Toys,Doll,1,731.96,731.96,Pending,20.0,Credit Card
09f2dd2a,2024-12-16,West,Bryan Lawson,Enterprise,Appliances,Toaster,10,408.4,4084.0,Delivered,8.0,Credit Card
5b27d8bb,2025-01-04,South,Melissa Lee,Enterprise,Furniture,Bookshelf,2,676.87,1353.74,Pending,7.0,PayPal
84969b35,2023-05-08,East,Joshua Vargas,Small Business,Clothing,T-Shirt,6,93.87,563.22,Pending,8.0,Bank Transfer
13ee67bb,2024-02-27,North,Christina Gray,Small Business,Clothing,Jacket,5,155.95,779.75,Pending,8.0,Bank Transfer
4162ae82,2023-09-10,North,Ryan Barnes,Enterprise,Electronics,Camera,7,662.01,4634.07,Delivered,14.0,
2dae5727,2024-12-08,North,Brianna Hernandez,Individual,Electronics,Tablet,3,757.05,2271.15,Delivered,17.0,
17dfb15c,2023-05-14,West,Patricia Brock,Individual,Clothing,Jacket,9,883.3,7949.7,Delivered,15.0,PayPal
f0ccfc55,2023-02-26,South,Tony Frey,Small Business,Clothing,Jacket,6,762.55,4575.3,Delivered,5.0,Credit Card
da600b4c,2023-09-26,East,Peter Mayer,Individual,Furniture,Dining Table,4,803.1,3212.4,Returned,16.0,Bank Transfer
b2da5648,2024-12-09,East,Nicholas Wilson,Enterprise,Clothing,Dress,8,764.05,6112.4,Delivered,2.0,Bank Transfer
fbeb4ff2,2024-06-02,South,Kristy Boyd,Individual,Furniture,Sofa,9,268.57,2417.13,Pending,12.0,PayPal
d7cba6bb,2024-01-07,East,John Payne,Individual,Electronics,Camera,7,774.76,5423.32,Returned,16.0,Bank Transfer
16ca9bd0,2024-12-22,North,Kristy Richardson,Small Business,Food,Cereal,5,588.45,2942.25,Returned,9.0,Bank Transfer
32bc4174,2023-12-03,East,Julie Montoya,Enterprise,Food,Chips,7,988.37,6918.59,Returned,6.0,Credit Card
0da76f9a,2024-03-03,East,Nicole Bauer,Small Business,Toys,Puzzle,9,860.86,7747.74,Returned,,Bank Transfer
6f9203c6,2024-06-22,East,Mr. Kevin Nelson,Enterprise,Clothing,Jeans,3,90.15,270.45,Pending,2.0,Credit Card
a3aa319a,2024-12-02,South,Melissa Burke,Small Business,Furniture,Sofa,5,819.41,4097.05,Pending,2.0,PayPal
1394ef91,2023-08-01,South,Elizabeth Harper,Individual,Food,Pasta,1,641.61,641.61,Delivered,5.0,PayPal
a739d794,2023-12-17,South,Miguel Newman,Enterprise,Toys,Doll,2,647.7,1295.4,Pending,6.0,Bank Transfer
09d7511f,2024-11-30,East,Erica Mccullough,Enterprise,Electronics,Camera,10,253.58,2535.8,Delivered,4.0,PayPal
2e810dd6,2023-11-19,North,Bradley Howard,Enterprise,Appliances,Toaster,7,773.53,5414.71,Pending,,Credit Card
8d63d241,2023-12-24,South,David White,Individual,Electronics,Tablet,5,679.0,3395.0,Pending,6.0,Bank Transfer
1681adc4,2024-03-25,Central,Amber Jones,Individual,Furniture,Bookshelf,8,123.65,989.2,Returned,3.0,Credit Card
b3d47f42,2023-07-19,East,Michael Stewart,Enterprise,Furniture,Sofa,3,239.03,717.09,Returned,11.0,PayPal
169d4919,2023-06-10,Central,Sydney Riley,Individual,Electronics,Tablet,2,567.6,1135.2,Returned,9.0,Bank Transfer
904b3d26,2023-03-07,Central,Zachary Adams,Enterprise,Clothing,Shoes,7,225.97,1581.79,Delivered,12.0,Bank Transfer
328e1c83,2023-04-13,North,Zachary Anderson,Small Business,Electronics,Camera,2,257.8,515.6,Delivered,4.0,Bank Transfer
4f99a169,2023-04-30,West,Matthew Sanders,Small Business,Clothing,Shoes,9,943.48,8491.32,Pending,13.0,PayPal
3b9e3fed,2024-10-29,North,Daniel Roberts,Small Business,Appliances,Refrigerator,6,350.53,2103.18,Returned,1.0,PayPal
20b8da52,2023-06-06,North,Linda Richardson,Individual,Furniture,Office Chair,8,133.9,1071.2,Pending,16.0,Credit Card
0c0a145c,2024-11-07,North,Erin Deleon,Enterprise,Furniture,Office Chair,6,499.9,2999.4,Returned,6.0,PayPal
2d9f2b5e,2023-06-18,Central,Scott Barnes,Small Business,Furniture,Office Chair,5,318.96,1594.8,Returned,2.0,Bank Transfer
54433116,2025-01-15,West,Jessica Bryant,Small Business,Electronics,Laptop,5,856.74,4283.7,Returned,,Credit Card
52eb3942,2024-01-01,East,Brian Smith,Enterprise,Appliances,Blender,5,257.8,1289.0,Pending,10.0,Credit Card
fc0724e7,2024-07-17,North,Thomas Crawford,Enterprise,Toys,Board Game,4,467.79,1871.16,Delivered,4.0,Credit Card
4584681e,2023-03-11,West,Gregory Owens,Individual,Appliances,Toaster,6,497.11,2982.66,Returned,13.0,Credit Card
67a484de,2023-05-21,South,Pamela Smith,Individual,Toys,Toy Car,3,957.16,2871.48,Pending,11.0,PayPal
9e302beb,2024-07-02,South,Bradley Mcmillan,Individual,Electronics,Camera,1,747.96,747.96,Returned,11.0,Credit Card
0af5190b,2023-09-13,West,Sandra Brown,Enterprise,Clothing,Jeans,3,16.79,50.37,Returned,10.0,Credit Card
f6431318,2024-05-19,North,Kellie Mills,Small Business,Furniture,Bookshelf,10,877.64,8776.4,Pending,6.0,PayPal
967caabc,2023-04-01,Central,Daniel Torres,Small Business,Food,Juice,10,917.24,9172.4,Returned,1.0,PayPal
b4720e9a,2024-03-02,South,Kelly Warren,Small Business,Furniture,Office Chair,5,510.23,2551.15,Pending,8.0,Credit Card
91423fec,2023-10-30,West,Alexandria Ross,Individual,Food,Chips,5,978.11,4890.55,Returned,3.0,PayPal
cb846b2d,2024-12-12,North,Nathaniel Wyatt,Small Business,Clothing,Jeans,9,691.67,6225.03,Delivered,20.0,PayPal
5dc27f99,2024-08-23,South,Robert Bryant,Enterprise,Clothing,Dress,7,447.57,3132.99,Pending,13.0,Credit Card
213ff5b6,2024-06-24,North,Jorge Levine,Enterprise,Toys,Doll,2,16.97,33.94,Delivered,9.0,Credit Card
d7c2dfa9,2023-06-04,South,Lori Knight,Small Business,Furniture,Sofa,3,660.31,1980.93,Delivered,,Bank Transfer
c79b8dfe,2023-09-21,East,Brandi Werner,Enterprise,Clothing,Jeans,4,541.1,2164.4,Delivered,9.0,Bank Transfer
997be765,2024-02-01,West,Rita King,Individual,Appliances,Microwave,9,109.89,989.01,Pending,11.0,Bank Transfer
9be3a2ba,2023-12-11,West,Ashley Soto,Enterprise,Electronics,Headphones,5,600.32,3001.6,Pending,9.0,PayPal
bfc6c55e,2024-12-11,West,Rebekah Mills,Individual,Appliances,Air Fryer,8,356.26,2850.08,Pending,20.0,Credit Card
1278dd84,2024-07-29,South,Christopher Johns,Enterprise,Toys,Board Game,6,242.77,1456.62,Pending,2.0,Bank Transfer
29ff7f91,2024-05-23,North,Daniel Carr,Enterprise,Electronics,Camera,6,293.97,1763.82,Returned,15.0,PayPal
af63174a,2023-07-28,Central,Colleen Parsons,Individual,Clothing,Jacket,8,146.05,1168.4,Delivered,16.0,Credit Card
bc11c2c1,2023-03-13,South,Gwendolyn Green,Individual,Clothing,Dress,10,437.56,4375.6,Delivered,18.0,PayPal
d3bc9285,2023-04-26,Central,Amanda Grant,Enterprise,Toys,Doll,8,220.74,1765.92,Delivered,,PayPal
f8836871,2023-03-06,West,Justin Tucker,Small Business,Electronics,Laptop,8,518.42,4147.36,Pending,13.0,Bank Transfer
0042b163,2024-01-08,north,Craig Weber,Enterprise,Food,Pasta,5,682.65,3413.25,Returned,1.0,Bank Transfer
185d747d,2023-10-04,West,Ryan Fischer,Individual,Electronics,Laptop,5,693.05,3465.25,Pending,12.0,Credit Card
c03acaa7,2023-10-26,West,Shaun Hammond,Individual,Appliances,Microwave,6,181.01,1086.06,Pending,20.0,
1d9d20c6,2023-08-15,North,James Todd,Enterprise,Furniture,Office Chair,6,470.4,2822.4,Pending,7.0,Credit Card
a68e59be,2024-01-08,North,Lauren Landry,Small Business,Food,Cereal,1,854.96,854.96,Returned,1.0,PayPal
6c88a2e0,2024-12-30,Central,Samantha Brewer,Small Business,Furniture,Desk,3,697.67,2093.01,Delivered,9.0,PayPal
e8c68b90,2023-06-05,West,Dana Maldonado,Individual,Appliances,Air Fryer,8,499.7,3997.6,Delivered,8.0,Credit Card
4913443f,2024-01-25,South,Justin Saunders,Small Business,Food,Cereal,9,873.88,7864.92,Returned,6.0,Credit Card
479dcd81,2023-02-22,West,Patricia Guzman,Individual,Furniture,Office Chair,1,295.01,295.01,Pending,,Credit Card
3548adb2,2023-02-04,North,John Cole,Small Business,Toys,Toy Car,10,96.67,966.7,Returned,,Credit Card
8bad27da,2024-02-12,North,Hannah Wilson,Enterprise,Furniture,Desk,6,93.64,561.84,Pending,11.0,Credit Card
2ea74269,2023-02-06,Central,Glenn Berry,Small Business,Food,Cookies,8,631.67,5053.36,Delivered,14.0,Bank Transfer
c4339b05,2024-03-06,South,Dr. Deborah Garcia DVM,Enterprise,Appliances,Microwave,6,57.42,344.52,Pending,8.0,PayPal
77f578f5,2024-12-07,East,James Olson,Small Business,Clothing,Jeans,4,354.87,1419.48,Delivered,20.0,Credit Card
ad0f2906,2023-02-04,West,Miguel Harris,Small Business,Toys,Board Game,2,397.78,795.56,Pending,4.0,PayPal
13a4ee21,2024-03-15,West,Nicholas Nguyen,Small Business,Furniture,Sofa,6,491.37,2948.22,Returned,2.0,Bank Transfer
cd0d3d6e,2023-07-29,Central,Brian Thomas,Individual,Clothing,T-Shirt,3,221.5,664.5,Returned,16.0,Credit Card
a0d1259d,2024-02-07,Central,Michelle Coleman,Small Business,Food,Cookies,5,546.24,2731.2,Returned,,PayPal
